"Дата","Время","Площадка","Категория","Id товара"
"datetime","parsing_time","platform","category","inner_product_id"
"2020-10-29","00:00:00",1,"",178915610
"2020-10-29","00:00:00",1,"",182281902
"2021-01-14","00:00:00",1,"",221258137
"2021-01-10","00:00:00",1,"",220005621
"2020-10-31","00:00:00",1,"",184908199
"2020-11-26","00:00:00",1,"",208768588
"2020-10-29","00:00:00",1,"",192026131
"2020-10-24","00:00:00",1,"",200568498
"2020-11-18","00:00:00",1,"",198790110
"2020-12-25","00:00:00",1,"",217577197
"2020-10-24","00:00:00",1,"",191749742
"2020-10-30","00:00:00",1,"",202975621
"2020-11-19","00:00:00",1,"",205742941
"2020-11-20","00:00:00",1,"",183471039
"2020-11-25","00:00:00",1,"",208553521
"2020-10-24","00:00:00",1,"",177792011
"2021-02-27","00:00:00",1,"",233575392
"2021-01-14","00:00:00",1,"",221243876
"2020-11-02","00:00:00",1,"",170684859
"2020-12-05","00:00:00",1,"",207945242
"2020-10-31","00:00:00",1,"",166625732
"2020-11-14","00:00:00",1,"",205436098
"2020-10-24","00:00:00",1,"",162843420
"2020-10-24","00:00:00",1,"",189416233
"2021-01-19","00:00:00",1,"",223493755
"2020-12-09","00:00:00",1,"",173123108
"2021-01-10","00:00:00",1,"",177364000
"2021-02-20","00:00:00",1,"",227656831
"2020-10-31","00:00:00",1,"",152521443
"2021-02-13","00:00:00",1,"",208923221
"2020-10-30","00:00:00",1,"",182387383
"2021-01-09","00:00:00",1,"",220160236
"2021-01-25","00:00:00",1,"",224923480
"2021-01-16","00:00:00",1,"",222636596
"2021-02-13","00:00:00",1,"",149057670
"2020-11-22","00:00:00",1,"",202259914
"2020-12-23","00:00:00",1,"",216064674
"2020-12-05","00:00:00",1,"",213559418
"2020-10-26","00:00:00",1,"",198074257
"2021-01-18","00:00:00",1,"",223318559
"2021-01-15","00:00:00",1,"",221838763
"2020-11-01","00:00:00",1,"",174141228
"2020-10-24","00:00:00",1,"",181779100
"2020-10-29","00:00:00",1,"",173261373
"2020-11-08","00:00:00",1,"",170175881
"2020-10-30","00:00:00",1,"",182933389
"2021-02-27","00:00:00",1,"",230589706
"2020-11-07","00:00:00",1,"",177223737
"2020-11-12","00:00:00",1,"",205312219
"2020-10-31","00:00:00",1,"",161188457
"2020-12-09","00:00:00",1,"",215093171
"2020-10-31","00:00:00",1,"",158684417
"2020-12-05","00:00:00",1,"",177897490
"2021-01-31","00:00:00",1,"",225953573
"2020-10-26","00:00:00",1,"",170792354
"2020-12-23","00:00:00",1,"",218146961
"2020-10-24","00:00:00",1,"",200673963
"2020-11-16","00:00:00",1,"",198351390
"2020-10-24","00:00:00",1,"",189475522
"2020-11-18","00:00:00",1,"",206090909
"2020-11-19","00:00:00",1,"",205511977
"2020-10-29","00:00:00",1,"",177419723
"2020-12-28","00:00:00",1,"",218701128
"2020-12-14","00:00:00",1,"",145639418
"2020-10-30","00:00:00",1,"",150211874
"2020-10-24","00:00:00",1,"",166023172
"2020-11-28","00:00:00",1,"",208613338
"2020-10-31","00:00:00",1,"",160579504
"2020-10-24","00:00:00",1,"",193095917
"2020-12-26","00:00:00",1,"",217489158
"2020-10-24","00:00:00",1,"",170727504
"2021-01-29","00:00:00",1,"",225757911
"2020-10-29","00:00:00",1,"",175592072
"2021-02-27","00:00:00",1,"",230711143
"2021-01-20","00:00:00",1,"",222701510
"2020-12-10","00:00:00",1,"",204123519
"2020-11-27","00:00:00",1,"",207471307
"2020-12-28","00:00:00",1,"",213065123
"2020-12-14","00:00:00",1,"",216618875
"2020-10-25","00:00:00",1,"",157493413
"2020-10-25","00:00:00",1,"",181843822
"2020-10-24","00:00:00",1,"",154393174
"2020-12-17","00:00:00",1,"",211058916
"2020-10-29","00:00:00",1,"",185509991
"2020-10-24","00:00:00",1,"",202190904
"2020-12-30","00:00:00",1,"",218218874
"2020-10-29","00:00:00",1,"",170884169
"2020-10-30","00:00:00",1,"",183273037
"2020-10-29","00:00:00",1,"",177990137
"2021-02-08","00:00:00",1,"",228094374
"2020-10-29","00:00:00",1,"",203039863
"2021-02-09","00:00:00",1,"",191812508
"2020-12-10","00:00:00",1,"",205549231
"2020-11-27","00:00:00",1,"",208489411
"2020-11-28","00:00:00",1,"",209949867
"2021-01-31","00:00:00",1,"",217381663
"2021-02-12","00:00:00",1,"",215604851
"2021-02-06","00:00:00",1,"",227723661
"2021-02-04","00:00:00",1,"",226236133
"2020-12-29","00:00:00",1,"",168354062
"2020-10-29","00:00:00",1,"",151212894
"2020-10-31","00:00:00",1,"",201186155
"2020-12-31","00:00:00",1,"",212077036
"2021-02-12","00:00:00",1,"",191130551
"2020-10-24","00:00:00",1,"",190219942
